Definition,Description
phân tích cơ bản,"Phân tích cơ bản (1). Phân tích cơ bản (Fundamental analysis) là một phương pháp đo lường Giá trị nội tại &nbsp;của một cổ phiếu &nbsp;bằng cách xem xét các yếu tố kinh tế và tài chính liên quan. Các nhà phân tích cơ bản nghiên cứu bất cứ điều gì có thể ảnh hưởng đến giá trị của công ty, từ các yếu tố kinh tế vĩ mô&nbsp;như trạng thái của nền kinh tế và điều kiện của ngành đến các yếu tố kinh tế vi mô&nbsp;như hiệu quả quản lý của công ty. Phân tích cơ bản (2). Mục tiêu cuối cùng là tìm ra giá trị nội tại của cổ phiếu của công ty, sau đó so sánh với giá hiện tại của cổ phiếu, để xem cổ phiếu có định giá&nbsp;cao (đắt) hay định giá thấp (rẻ) từ đó ra quyết định mua bán phù hợp.&nbsp; Ví dụ: nếu như giá trị nội tại của cổ phiếu ABC theo các phương pháp phân tích cơ bản là 50,000 đồng, mà cổ phiếu ABC hiện đang giao dịch trên thị trường ở mức giá 35,000 thì tức là đang rẻ, và có thể mua vào. Phân tích cơ bản (3). Ngược lại nếu cổ phiếu đang giao dịch mức 60,000 đồng thì là đắt và không nên mua vào. Trong trường hợp đang có cổ phiếu đó trong danh mục thì có thể xem xét bán ra. Các phương pháp phân tích cơ bản bao gồm: phương pháp chiết khấu dòng tiền, phương pháp so sách&nbsp;các chỉ số như P/E, P/Book để so sánh các công ty tương tự về quy mô để xác định giá trị hợp lý cho một công ty. Phân tích cơ bản (4). Phân tích cơ bản được sử dụng phần lớn bởi các nhà đầu tư dài hạn hoặc giá trị để xác định các cổ phiếu có định giá tốt và những cổ phiếu có triển vọng lợi nhuận. Các nhà phân tích cổ phiếu của các công ty chứng khoán cũng sẽ sử dụng phân tích cơ bản để xác định giá mục tiêu và khuyến nghị cho khách hàng (ví dụ: mua, giữ hoặc bán). Phân tích cơ bản (5). Các lãnh đạo công ty và kế toán tài chính cũng sẽ sử dụng phân tích tài chính để phân tích và tăng hiệu quả hoạt động và lợi nhuận của một công ty và để so sánh công ty với đối thủ cạnh tranh. Warren Buffett, một trong những nhà đầu tư giá trị nổi tiếng nhất thế giới, là người khuyến khích dùng phân tích cơ bản."
định giá,"Định giá (1). Định giá (Valuation) là quá trình xác định hoặc ước tính giá trị của một tài sản, sản phẩm, dự án hoặc công ty cụ thể. Việc định giá thường liên quan đến việc đặt một giá trị số cụ thể cho mục tiêu đó, có thể dựa trên các yếu tố như chi phí, giá trị thị trường, giá trị sử dụng, cạnh tranh và nhiều yếu tố khác. Định giá có thể áp dụng trong nhiều lĩnh vực, bao gồm tài chính, kinh doanh, bất động sản, và các ngành công nghiệp khác. Định giá (2). Trong tài chính, có nhiều phương pháp được sử dụng để định giá, như phương pháp định giá dựa trên tài sản, phương pháp định giá so sánh , phương pháp định giá dựa trên dòng tiền chiết khấu ( DCF ),... Các chuyên gia phân tích thường xem xét hoạt động của doanh nghiệp, cấu trúc vốn của doanh nghiệp, triển vọng doanh thu và lợi nhuận&nbsp;trong tương lai cũng như giá trị thị trường của công ty. Phân tích cơ bản &nbsp;thường được sử dụng để định giá."
phương pháp định giá so sánh,"Phương pháp định giá so sánh (1). Phương pháp định giá so sánh (Multiple Valuation) là phương
pháp định giá giá trị của một doanh nghiệp dựa trên cơ sở giá cổ phiếu của những
công ty tương tự thông qua một bội số thích hợp. Các chỉ số tài chính thường được
sử dụng trong phương pháp này là: Phương pháp định giá so sánh (2). - Chỉ số giá trên thu nhập (P/E): Chỉ số P/E &nbsp;cho
    biết mức giá mà thị trường đang định giá mỗi đơn vị lợi nhuận của công ty. Các
    công ty có chỉ số P/E thấp hơn có thể được xem xét là định giá tốt hơn so với
    các công ty có chỉ số P/E cao hơn, giả định rằng cả hai có cùng mức lợi nhuận. - Chỉ số giá trên doanh thu (P/Sales): Phương pháp
    này so sánh giá cổ phiếu của một công ty với doanh thu của nó. Chỉ số P/Sales giúp
    đánh giá giá trị của công ty dựa trên doanh thu mà nó tạo ra. Phương pháp định giá so sánh (3). - Chỉ số giá trên giá trị sổ sách (P/B): Phương
    pháp này so sánh giá thị trường của cổ phiếu của một công ty với giá trị sổ sách
    (Book value) của nó. Chỉ số P/B &nbsp;cho biết mức giá mà thị trường đang định giá
    công ty dựa trên giá trị tài sản của công ty đó. - Chỉ số (EV/EBITDA): Phương pháp này so sánh giá trị doanh    nghiệp &nbsp;(EV) của một công ty với lợi nhuận trước thuế, lãi vay và khấu hao (EBITDA).
    Chỉ số EV/EBITDA giúp đánh giá giá trị của doanh nghiệp dựa trên khả năng sinh
    lời và tạo ra lợi nhuận. Phương pháp định giá so sánh (4). Nhìn chung, phương pháp định giá so sánh là rất đơn giản và có thể dùng để
    ước tính giá trị của doanh nghiệp một cách nhanh chóng. Tuy nhiên, phương pháp
    này chỉ mang tính tương đối nhằm đánh giá các công ty dựa trên các công ty
    tương tự cùng ngành, có vốn hóa tương đương nhau và không xem xét tình hình cụ
    thể của công ty. Do đó, phương pháp định giá so sánh thường được sử dụng kết hợp
    với các phương pháp khác để đánh giá toàn diện giá trị công ty.&nbsp;"
bảng giá chứng khoán,"Bảng giá chứng khoán (1). Bảng giá chứng khoán (Stock price board) là nơi thể hiện tất cả thông tin liên quan đến giá và các giao dịch cổ phiếu &nbsp;của thị trường chứng khoán .&nbsp;Thị trường chứng khoán Việt Nam có hai bảng giá riêng đại diện cho hai Sở giao dịch chứng khoán chính thức gồm bảng giá của HoSE&nbsp;(Sở Giao dịch Chứng khoán TP.HCM) và bảng giá HNX&nbsp;(Sở Giao dịch Chứng khoán Hà Nội) . Bảng giá chứng khoán (2). Các thông tin cơ bản trên một bảng giá chứng khoán bao gồm: - CK: là&nbsp; Mã chứng khoán - Trần: là&nbsp;Giá trần màu tím, đây&nbsp;là mức giá cao nhất trong biên độ giá của một ngày giao dịch,&nbsp;mà nhà đầu tư có thể đặt lệnh&nbsp;mua/bán. - Sàn: là Giá sàn màu xanh dương, đây là&nbsp;mức giá thấp nhất nằm trong biên độ giá của một ngày giao dịch,&nbsp;mà nhà đầu tư có thể đặt lệnh&nbsp;mua/bán. - TC: là Giá tham chiếu &nbsp;màu vàng, Giá tham chiếu là giá đóng cửa ngày giao dịch trước đó. Bảng giá chứng khoán (6). - Ngoài ra bảng giá có thêm màu xanh lá cây chỉ cổ phiếu đang khớp lệnh ở mức giá cao hơn so với gia tham chiếu. Các mức giá đặt cao hơn giá tham chiếu sẽ được hiển thị màu xanh.&nbsp;Khi một cổ phiếu đang khớp ở giá cao hơn giá tham chiếu, thì mã cổ phiếu sẽ hiển thị màu xanh.&nbsp; - Ngược lại, khi cổ phiếu đang khớp lệnh ở mức giá thấp hơn giá thị trường thì mã cổ phiếu&nbsp;sẽ hiển thi màu đỏ. Các mức giá đặt thấp hơn giá tham chiếu thể hiện màu đỏ, và bằng giá tham chiếu thì màu vàng. Bảng giá chứng khoán (3). - Bên&nbsp;Mua: là&nbsp;Khu vực hiển thị ba mức giá đặt mua tốt nhất (cao nhất) và khối lượng đặt mua tương ứng. - Bên&nbsp;Bán: là&nbsp;Khu vực hiển thị ba mức giá chào bán tốt nhất (thấp nhất) và khối lượng chào bán tương ứng. - Khớp lệnh: là&nbsp;Khu vực này biểu thị mức giá khớp lệnh gần nhất của một cổ phiếu, bao gồm giá khớp lệnh, khối lượng khớp lệnh và biên độ giá &nbsp;so với tham chiếu) Bảng giá chứng khoán (4). Ở cột Khớp lệnh sẽ hiện thị 3 yếu tố: - Giá: là&nbsp;giá đang khớp trong phiên&nbsp;hoặc giá cuối ngày (khi đóng phiên) - KL: là&nbsp;khối lượng thực hiện/khối lượng khớp, là khối lượng giao dịch tương ứng với mức giá đang khớp - (+/-): tăng/giảm giá là mức thay đổi của giá thị trường so với giá tham chiếu - (+/-(%)): là mức thay đổi của giá thị trường so với giá tham chiếu tính theo %.&nbsp; Bảng giá chứng khoán (5). Phía ngoài cùng bên phải của bảng giá sẽ thể hiện khối lượng Nhà đầu tư nước ngoài mua/bán (ĐTNN) trong ngày giao dịch. - Cột ""NN mua"": là số lượng cổ phiếu Nhà đầu tư nước ngoài đặt mua. - Cột ""NN bán"": là số lượng cổ phiếu Nhà đầu tư nước ngoài đặt bán. Phía trên cùng&nbsp;của bảng giá chứng khoán sẽ thể hiện các chỉ số thị trường. Một số chỉ số tiêu biểu được thể hiện là VNIndex , VN-30 , HNX-30 , HNX ."
đặt lệnh chứng khoán,"Đặt lệnh chứng khoán (1). Nhà đầu tư muốn mua bán đầu tư chứng khoán cần cần&nbsp;đặt lệnh mua/bán chứng khoán trên sàn giao dịch chứng khoán, thông qua tài khoản giao dịch chứng khoán.Các lệnh mua/bán thường yêu cầu các trường thông tin: - Lệnh mua hay bán - Loại lệnh: Hiện nay có các loại lệnh MP, LO, ATO, ATC -&nbsp; Mã chứng khoán : là 3 chữ cái, ký hiệu niêm yết trên sàn của một công ty. - Số lượng cổ phiếu: có thể giao dịch cổ phiếu phân đoạn (&lt; 1 cổ phiếu) qua các ứng dụng đầu tư công nghệ, cổ phiếu lô lẻ (1-99 cổ phiếu) và cổ phiếu lô chẵn (bội số của 100 cổ phiếu) - Giá mua/bán: theo bước giá giao dịch của mỗi cổ phiếu Đặt lệnh chứng khoán (2). - Số lượng cổ phiếu: có thể giao dịch cổ phiếu phân đoạn (&lt; 1 cổ phiếu) qua các ứng dụng đầu tư công nghệ, cổ phiếu lô lẻ (1-99 cổ phiếu) và cổ phiếu lô chẵn (bội số của 100 cổ phiếu) - Giá mua/bán: theo bước giá giao dịch của mỗi cổ phiếu Sau khi bạn nhập các trường thông tin thì cần xác nhận lệnh bằng cách nhập PIN giao dịch hoặc Smart OTP nhằm đảm bảo an toàn cho giao dịch. Đặt lệnh chứng khoán (3). Sau khi xác nhận,&nbsp;lệnh được gửi lên trên các sàn giao dịch chứng khoán để khớp lệnh. Mỗi loại lệnh khác nhau sẽ có thư tự ưu tiên khớp lệnh khác nhau. Lệnh không khớp trong phiên giao dịch sẽ bị hủy sau khi phiên giao dịch kết thúc."
giới thiệu,"Tititada Ham Học Hỏi xin chào! (1). Tititada chúc mừng bạn đã bắt đầu đầu tư tích luỹ cho riêng mình. Trong hành trình này, Tititada sẽ luôn đồng hành cùng bạn. Tititada tin rằng đầu tư là một hành trình, luôn có điểm bắt đầu. Tititada mong muốn có thể trang bị cho bạn những kiến thức đầu tư từ cơ bản đến nâng cao. Tititada Ham Học Hỏi xin chào! (2). Tititada cũng mong muốn được giúp bạn làm quen với chứng khoán, và giúp bạn tích lũy kiến thức và kinh nghiệm đầu tư, tự tin, vững vàng để việc đầu tư của bạn thêm hiệu quả. Bạn đã sẵn sàng chưa? Bắt đầu thôi!"
phân tích cơ bản vs. phân tích kỹ thuật,"Phân tích cơ bản vs. Phân tích kỹ thuật. Phân tích kỹ thuật (Technical analysis) không đi sâu vào phân tích báo cáo tài chính &nbsp;hay đánh giá các chỉ số hoạt động của một công ty. Thay vào đó, phân tích kỹ thuật xem biểu đồ kỹ thuật ngắn để xác định các tín hiệu giá, xu hướng giá và xác định khả năng đảo chiều của giá cổ phiếu . Các phân tích kỹ thuật có xu hướng tham gia mua bán ngắn hạn và không nhất thiết phải xem xét định giá dài hạn. Động lực đằng sau phân tích kỹ thuật phần lớn được thúc đẩy bởi tâm lý thị trường."
chỉ số p/e và định giá theo p/e,"P/E (1). Chỉ số P/E hay Price to Earning ratio, là hệ số Giá trên Lợi nhuận một cổ phiếu. Công thức tính chỉ số P/E:&nbsp; P/E = Thị giá cổ phiếu (Price) / Lợi nhuận trên 1 cổ phiếu trong một năm ( EPS ) Chỉ số P/E có thể bị âm, nếu công ty có kết quả kinh doanh lỗ dẫn đến EPS bị âm. P/E được dùng để đánh giá mối quan hệ giữa giá cổ phiếu trên thị trường và lợi nhuận thu được trên một cổ phiếu. Hiểu đơn giản hơn, chỉ số này cho bạn biết để có được 1 đồng lợi nhuận từ cổ phiếu, thì bạn cần phải bỏ ra số tiền là bao nhiêu. P/E (2). Nhìn chung, nếu P/E thấp, nghĩa là giá cổ phiếu càng rẻ và ngược lại. Tuy nhiên, để đánh giá đúng tiềm năng của một doanh nghiệp, thì P/E cần phải được so sánh với các công ty trong ngành. Ví dụ: một công ty có mức P/E khoảng 7x là tương đối thấp nhưng nếu toàn ngành đang có mức P/E trung bình ở mức 5.0x thì mức 7.0x sẽ trở thành đắt. Ngoài ra, còn phải xem thêm khả năng tăng trưởng của công ty.

Ví dụ: một công ty có mức tăng trưởng dưới 5% năm, thì P/E 10.0x sẽ trở thành đắt. P/E ngành. P/E ngành thường được tính bằng trung bình cộng (cộng chia trung bình) hoặc trung bình vị (lấy số ở giữa) của tất cả các công ty trong ngành. Khi định giá công ty bằng phuơng pháp P/E, thường so sánh P/E của công ty định giá với P/E trung bình ngành để xác định mức độ đắt rẻ, hấp dẫn của công ty định giá.&nbsp;Các chỉ số này có thể tự tính hoặc dùng số liệu của các tổ chức chuyên cung cấp dữ liệu như Bloomberge, Cafef, Vietstock cung cấp. Định giá theo P/E (1). Cách định giá cổ phiếu theo phương pháp P/E là cách phổ biến nhất và có thể áp dụng cho cổ phiếu ở hầu hết các ngành nghề. Giá cổ phiếu = Chỉ số P/E * Dự phóng EPS Trong công thức này, chỉ số P/E thường được dùng theo số trung bình ngành, điều chỉnh tăng hay giảm theo mức tăng trưởng của công ty. Dự phóng EPS là EPS dự đoán của năm hiện tại. Định giá theo P/E (2). Nếu giá của cổ phiếu trên thị trường thấp hơn giá trị định giá theo phương pháp P/E thì cổ phiếu đang ở vùng giá hấp dẫn và ngược lại, nếu giá của cổ phiếu trên thị trường cao hơn giá trị định giá theo phương pháp P/E thì cổ phiếu đang đắt và có thể xem xét bán. Để định giá một công ty sử dụng chỉ số P/E, các nhà phân tích thường dự phóng kết quả kinh doanh và lợi nhuận sau thuế trong tương lai của công ty. Định giá theo P/E (3). Ví dụ: Một công ty có Lợi nhuận sau thuế năm 2023 dự phóng là 100 tỷ đồng và chỉ số P/E trung bình ngành là 10.0x thì Vốn hóa của công ty sẽ được tính như sau: Vốn hóa thị trường = Lợi nhuận sau thuế dự phóng * Chỉ số P/ E = 100* 10.0 = 1,000 tỷ đồng. Từ vốn hóa công ty, có thể tính ra Giá cổ phiếu và so sánh với giá thị trường để có thể biết cổ phiếu đắt hay rẻ và ra quyết định mua bán."
phân tích kỹ thuật,"Phân tích kỹ thuật (1). Phân tích kỹ thuật (Technical analysis) là một phương pháp đánh giá các khoản đầu tư &nbsp;và xác định các cơ hội giao dịch theo các xu hướng và mô hình giá được thấy trên biểu đồ giá. Các nhà phân tích kỹ thuật tin rằng hoạt động giao dịch trong quá khứ và sự thay đổi giá của một chứng khoán có thể là những chỉ báo có giá trị về biến động giá trong tương lai của chứng khoán. Phân tích kỹ thuật, trái ngược với phân tích cơ bản, là phương pháp tập trung vào tài chính của một công ty hơn là giá trong quá khứ hoặc xu hướng biến động của giá cổ phiếu. Phân tích kỹ thuật (2). Phân tích kỹ thuật không dựa vào các yếu tố kinh doanh cụ thể của một công ty hoặc tài sản, như lợi nhuận hoặc thông tin thị trường, mà tập trung vào dữ liệu kỹ thuật. Nó thường được sử dụng bởi nhà đầu tư, nhà đầu cơ, và các công ty quản lý quỹ đầu tư để hỗ trợ quyết định giao dịch và đầu tư. Tuy nhiên, cách tiếp cận này có những hạn chế và không phải là phương pháp dự đoán hoàn hảo cho thị trường tài chính."
phương pháp chiết khấu dòng tiền (dcf),"Phương pháp chiết khấu dòng tiền (1). Phương pháp chiết khấu dòng tiền (Discounted Cash Flow hay DCF) là một phương pháp định giá được sử dụng để xác định giá trị của một công ty dựa trên dòng tiền trong tương lai.&nbsp;Phương pháp này dựa trên nguyên tắc rằng giá trị hiện tại của một tài sản hoặc dự án có thể xác định bằng việc chiết khấu tất cả dòng tiền dự kiến mà nó sẽ tạo ra trong tương lai về một giá trị hiện tại. Sau đó lấy tổng của tất cả các dòng tiền tương lai chiết khấu là giá trị hiện tại của công ty. Phương pháp chiết khấu dòng tiền (2). Công thức định giá doanh nghiệp theo phương pháp DCF: PV =&nbsp;∑CF(t)/(1+r)^t Trong đó:&nbsp; - Giá trị hiện tại (Present value - PV)&nbsp;là giá trị của khoản tiền phát sinh trong tương lai được quy đổi về thời điểm hiện tại (thời điểm gốc) theo một tỷ lệ chiết khấu nhất định. - Dòng tiền (Cash flow - CF) là dòng tiền dự kiến của công ty qua các năm 1, 2, 3,..., n. - Tỷ lệ chiết khấu (r) Phương pháp chiết khấu dòng tiền (3). Tùy vào từng mục đích định giá doanh nghiệp, tỷ lệ chiết khấu được sử dụng thường là Chi phí vốn bình quân gia quyền (WACC) của một công ty, được tính dựa trên cơ sở tỷ trọng về vốn vay, vốn tự có và các nguồn vốn khác của doanh nghiệp. Phương pháp chiết khấu dòng tiền là một phương pháp định giá được nhiều chuyên gia tài chính cho là tốt nhất hiện nay vì nó tính đến tình hình hoạt động trong quá khứ và triển vọng trong tương lai của doanh nghiệp, cùng với các điều kiện kinh tế vĩ mô và ngành nghề mà nó hoạt động. Đối với các công ty có sử dụng đòn bẩy tài chính cao, hay đang thay đổi tỷ lệ sử dụng đòn bẩy&nbsp;thì mô hình định giá DCF là lựa chọn tốt nhất."
